"filename", "language", "Python", "HTML", "JavaScript", "PostCSS", "XML", "Markdown", "pip requirements", "comment", "blank", "total"
"d:\repo\Phoenix11\accounting\templates\accounting\includes\services-app\script.html", "HTML", 0, 26, 0, 0, 0, 0, 0, 0, 3, 29
"d:\repo\Phoenix11\accounting\templates\accounting\includes\services-app\template.html", "HTML", 0, 96, 0, 0, 0, 0, 0, 0, 8, 104
"d:\repo\Phoenix11\accounting\templates\accounting\includes\set-account-parent-app\script.html", "HTML", 0, 59, 0, 0, 0, 0, 0, 0, 14, 73
"d:\repo\Phoenix11\accounting\templates\accounting\includes\set-account-parent-app\template.html", "HTML", 0, 54, 0, 0, 0, 0, 0, 0, 14, 68
"d:\repo\Phoenix11\accounting\templates\accounting\index.html", "HTML", 0, 136, 0, 0, 0, 0, 0, 0, 26, 162
"d:\repo\Phoenix11\accounting\templates\accounting\invoice-edit.html", "HTML", 0, 283, 0, 0, 0, 0, 0, 0, 19, 302
"d:\repo\Phoenix11\accounting\templates\accounting\invoice-line-item.html", "HTML", 0, 28, 0, 0, 0, 0, 0, 0, 10, 38
"d:\repo\Phoenix11\accounting\templates\accounting\invoice-line.html", "HTML", 0, 24, 0, 0, 0, 0, 0, 0, 11, 35
"d:\repo\Phoenix11\accounting\templates\accounting\invoice-print.html", "HTML", 0, 91, 0, 0, 0, 0, 0, 0, 32, 123
"d:\repo\Phoenix11\accounting\templates\accounting\invoice.html", "HTML", 0, 63, 0, 0, 0, 0, 0, 0, 4, 67
"d:\repo\Phoenix11\accounting\templates\accounting\invoices.html", "HTML", 0, 21, 0, 0, 0, 0, 0, 0, 11, 32
"d:\repo\Phoenix11\accounting\templates\accounting\layout.html", "HTML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\repo\Phoenix11\accounting\templates\accounting\person-account.html", "HTML", 0, 42, 0, 0, 0, 0, 0, 0, 18, 60
"d:\repo\Phoenix11\accounting\templates\accounting\person-accounts.html", "HTML", 0, 19, 0, 0, 0, 0, 0, 0, 13, 32
